id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio
220,Hotel Al Casaletto,Via di Settecamini,1,41.9381201,12.6209419,2,23,19,15,4,,casaletto7caminisrl@pec.it,623484624,www.alcasaletto.it,4
221,Hotel Alba,Viale di Torre Maura,81,41.86121,12.59321,4,156,69,18,18,31,booking@hotelalbaroma.com,690282887,http://hotelalbaroma.com,6
222,Hotel Albani,Via Adda,41,41.9154029,12.4982791,4,325,154,12,128,,,,,2
223,Hotel Alius,Via Nazionale,243,41.901484,12.4940831,1,19,10,1,9,,valvo1947@tiscali.it,670453613,,1
224,Hotel Anacapri,Via Magenta,13,41.9033759,12.5024959,2,15,7,1,4,2,hrcsrl1@legalmail.it,644241938,,1
225,Hotel Anfiteatro Flavio,Via Dei Serpenti,130,41.8958806,12.4905602,3,29,17,8,6,3,info@anfiteatroflavio.com,64740704,,1
226,Hotel Anglo Americano,Via delle Quattro Fontane,12,41.9030696,12.489073,4,270,114,9,62,36,info@hotelangloamericano.it,6472941,,1
227,Hotel Aniene,Viale Tirreno,74 B,41.9379596,12.5314834,3,57,33,9,24,,info@hotelseiler.it,6485550,,3
228,Hotel Antica Locanda,Via del Boschetto,83,41.8962269,12.4908402,3,25,12,1,9,2,germani77@hotmail.com,6484894,www.anticalocandaroma.it,1
229,Hotel Antico Acquedotto,Via di Villa Serventi,9,41.8853238,12.5306767,3,39,32,25,7,,info@hotelanticoacquedotto.it,627801410,www.hotelanticoacquedotto.it,5
230,Hotel Arcangelo,Via Boezio,15,41.9065605,12.4649736,3,52,33,14,19,,info@hotelarcangeloroma.it,66874143,,1
231,Hotel Area Roma,Via del Forte Ostiense,21,41.8464626,12.4750069,4,113,51,18,7,23,info.gardenarea@italicahotels.com,65943183,https://www.hotelarearoma.it,9
232,Hotel Argentina Residenza Style Hotel,Via di Torre Argentina,47,41.8954633,12.4761558,4,24,12,,12,,info@argentinastylehotel.com,3.91E+11,http://www.argentinastylehotel.com/,1
233,Hotel Aristotele,Via Palestro,87,41.903402,12.505986,2,16,11,7,3,1,hotelalex88@gmail.com,3248321035,,1
234,Hotel Artromano,Viale Castro Pretorio,64,41.9042753,12.5060308,2,11,8,5,3,,risinternazionale@pec.it,684240927,,1
235,Hotel Ascot,Via Montebello,22,41.904909,12.4994276,2,18,11,5,5,1,info@hotelascotroma.com,64741675,,1
236,Hotel Astoria Golden Gate,Via dei Mille,34,41.9033702,12.5040575,2,15,8,1,7,,goldensrl2022@pec.it,3791098126,,1
237,Hotel Astrid,Largo Antonio Sarti,4,41.9234089,12.4687461,3,89,51,20,24,7,info@hotelastrid.com,63236371,www.hotelastrid.com,2
238,Hotel Atelier 800,Corso Vittorio Emanuele II,294,41.8990497,12.4668889,2,13,7,3,3,,info@atelier800.com,66872778,www.atelier800.com,1
239,Hotel Auditorium Mecenate,Via dello Statuto,44,41.894841,12.5012924,1,20,10,1,8,1,info@auditoriumdimecenate.com,64881464,,1
240,hotel aurelius,Via Aurelia,458,41.8988264,12.4256325,3,50,26,6,16,4,info@hotelaurelius.it,66624500,,13
241,Hotel Aurum Roma Olympic,Via Properzio,2:00 AM,41.9067305,12.4612101,4,145,77,22,43,11,olympic@aurumhotels.it,66896650,www.aurumhotels.it/grand-hotel-olympic-roma-centro-lazio,1
242,Hotel Aventino,Via di San Domenico,10,41.8829443,12.4803304,3,53,21,,11,9,info@aventinohotels.com,6570057,www.aventinohotels.com,1
243,Hotel Azzurra,Via del Boccaccio,25,41.9025996,12.4872678,2,22,10,3,3,3,hotelazzurra@hotmail.com,64746531,www.hotelazzurra.com,1
244,Hotel Balilla,Via Balilla,1,41.893328,12.5114525,3,18,9,,9,,balilla2023@legalmail.it,37129990659,,1
245,Hotel Barrett,Via di Torre Argentina,47,41.8954633,12.4761558,3,49,20,,11,9,info@hotelbarrett.it,66868481,,1
246,Hotel Beauty Palace,Via Principe Amedeo,79 A,41.8983611,12.5007886,2,25,14,3,11,,vertexpalace79@gmail.com,3892006589,,1
247,Hotel Beethoven,Via del Forte Braschi,2,41.9164184,12.4231476,3,25,13,1,12,,hotelbeethovensas@pec.it,66149370,,14
248,Hotel Bella Vita,Piazza Tommaso De Cristoforis,3:00 AM,41.9005612,12.5339707,3,43,19,,15,3,ali.sal8287@yahoo.com,3803686453,,4
249,Hotel Benedetto,Via Alberico Da Rosate,7,41.8943617,12.4160753,2,21,9,1,5,2,dipietropietro@gmail.com,3478687115,,13
250,Hotel Big Bang,Via Principe Amedeo,9,41.9000259,12.4981659,1,26,12,4,3,4,hotelbigbang@gmail.com,3356229068,www.hotelbigbang.it,1
251,Hotel Blue Marine Suites Rome,Via Zucchelli,20,41.9039121,12.4866158,3,24,12,,12,,info@bluemarine.it,3471054896,http://bluemarinesuiteromacentro.it,1
252,Hotel Bolivar,Via della Cordonata,6,41.897072,12.4861387,4,74,30,1,14,15,info@bolivarhotel.com,66791614,www.bolivarhotel.eu,1
253,Hotel Boomerang,Via degli Arlotti,20,41.8821962,12.3776671,3,147,60,11,11,38,amministrazione@hotelboomerangroma.com,66690307,www.hotelboomerangroma.com,12
254,Hotel Boutique Nazionale,Via Nazionale,66,41.899339,12.491388,3,16,8,,8,,siciliano.dante85@gmail.com,3886430975,,1
255,Hotel Bright,Via Prenestina,940 E,41.8932735,12.5977121,3,70,42,14,28,,info@hotelbright.it,645541360,,5
256,Hotel California,Via Principe Amedeo,39,41.8991522,12.4995549,3,94,43,1,34,7,,,,1
257,Hotel Campidoglio,Via Principe Amedeo,85,41.8980907,12.5009903,3,24,13,3,9,1,,,,1
258,Hotel Campo de' Fiori,Via del Biscione,6,41.8956378,12.4727897,4,61,23,1,6,16,info@hotelcampodefiori.com,668806865,www.hotelcampodefiori.com,1
259,Hotel Capannelle,Via Siderno,37,41.8351481,12.5553952,4,514,258,2,256,,residentmanager@hotelcapannelle.com,3515115734,,7
260,Hotel Caravaggio,Via Palermo,73,41.8993043,12.4927824,3,22,13,4,9,,hotelesesuitessrls@legalmail.it,64873261,,1
261,Hotel Caravaggio 2,Via Palermo,73,41.8993043,12.4927824,1,11,7,3,4,,hotelesesuitessrls@legalmail.it,64873261,,1
262,Hotel Caravel,Via Cristoforo Colombo,124 C,41.8652381,12.4963599,4,270,118,1,84,31,s.sampieri@hotelcaravel.it,65180789,http://info@hotelcaravel.it,8
263,Hotel Carmel,Via Goffredo Mameli,11,41.8864685,12.467981,2,20,11,5,3,3,reservation@hotelcarmel.it,65809921,www.hotelcarmel.it,1
264,hotel Carmen,Via Giovanni Amendola,77,41.8996164,12.5002273,2,18,8,,6,2,,,,1
265,Hotel Casa Mia In Trastevere,Via della Renella,88 90,41.890457,12.4714937,3,25,12,2,8,1,casamiaintrastevere@gmail.com,686974870,,1
266,Hotel Casa Monti,Via Panisperna,210,41.8965983,12.4922702,5,71,36,3,32,,andrea@casamontiroma.com,3494712351,,1
267,Hotel Casale Dei Massimi,Via della Pisana,952,41.8561788,12.3926163,2,22,18,14,4,,casaledeimassimi@gmail.com,666151109,,12
268,Hotel Casale Della Certosa,Via Pietrelcina,6,41.7199843,12.5844153,3,71,37,13,16,6,info@casalecertosa.it,671383055,www.casalecertosa.it,9
269,Hotel Castelfidardo,Via Castelfidardo,31,41.9064508,12.5007535,1,25,15,7,6,2,adrimmobiliare@pec.it,3665457527,,1
270,Hotel Castellino Roma,Via Cesare Battisti,133,41.8969742,12.482694,4,47,22,2,15,5,wehopesrl@gmail.com,66788982,,1
271,Hotel Castle,Salita di Castel Giubileo,196,41.9902469,12.5075318,2,61,34,8,25,1,,,,3
272,Hotel Cathrine,Via Volturno,27,41.9046237,12.4994027,1,15,10,5,5,,newcathrinehotel@gmail.com,6483634,,1
273,Hotel Catone District,Via Catone,34,41.9075113,12.4587103,3,46,24,3,20,1,booking@catonedistricthotel.itbooking,639735082,www.catonedistricthotel.it,1
274,Hotel Celio,Via dei Santi Quattro,35 C,41.8891897,12.495689,3,25,14,6,5,3,info@hotelcelio.com,67096377,,1
275,Hotel Cellini,Via Modena,5,41.9023862,12.49461,3,32,13,,7,6,info@hotelcellini.com,647825204,www.hotelcellini.com,1
276,Hotel Central Lodge,Via Buonarroti,19,41.8933378,12.5023501,3,42,18,,12,6,info@hotelcentrallodge.com,686923726,https://www.centrallodgehotel.com/,1
277,hotel centro cavour roma,Via Cavour,237,41.894332,12.4915217,3,23,14,5,9,,enehotel233@gmail.com,3477691607,,1
278,Hotel Chapter Roma,Via di Santa Maria de' Calderari,47,41.8931734,12.4758168,4,86,47,8,39,,info@chapter-roma.com,689935351,www.chapter-roma.com,1
279,Hotel Cherubini,Via Giovanni Amendola,77,41.8996164,12.5002273,1,25,11,1,6,4,info@hotelcherubini.com,3939866296,,1
280,Hotel Chicago,Via Gioberti,63,41.8984999,12.5000658,2,17,9,1,8,,adolfold@libero.it,3804660192,,1
281,Hotel Citta' 2000,Via della Tenuta di Torrenova,60,41.8589667,12.6144198,3,114,54,,48,6,amgestionialberghiere@gmail.com,62025540,,6
282,Hotel City Palazzo Dei Cardinali,Via dei Due Macelli,97,41.9036213,12.4849292,3,63,30,3,22,4,info@hcpalazzodeicardinali.it,66797468,www.hcpalazzodeicardinali.it,1
283,Hotel Concept Terrace,Via Barberini,50,41.9045684,12.4919999,3,19,8,,6,1,hotelrome50@gmail.com,3343821192,,1
284,Hotel Conciliazione,Borgo Pio,163,41.9038888,12.4607937,4,138,67,7,50,9,borgo2014@legalmail.it,684000101,,1
285,Hotel Concorde,Via Giovanni Amendola,95,41.8992831,12.5005591,2,77,36,7,17,12,concordehotel@ concordehotel.it,64825170,,1
286,Hotel Condominio Monti,Via Dei Serpenti,109,41.8966941,12.4901348,3,49,24,5,13,6,info@condominiomonti.it,64885889,www.condominiomonti.it,1
287,Hotel Condotti,Via Mario De Fiori,37,41.9061791,12.4806847,4,23,16,9,7,,amministrazione@hotelcondotti.com,66794661,,1
288,Hotel Continentale,Via Palestro,49,41.9047618,12.5042162,2,65,25,1,11,10,segreteria@bc-hospitality.com,644340051,,1
289,Hotel Coppede',Via Chiana,88,41.921006,12.5069012,3,25,12,2,8,1,boutiquehotelcoppede@gmail.com,68549535,,2
290,Hotel Corona,Via Napoli,3,41.8995583,12.4958155,3,131,61,13,36,4,info@hotelcoronaroma.it,64880080,www.hotelcoronaroma.it,1
291,Hotel Corot,Via Marghera,13,41.9022281,12.503444,3,66,28,4,12,10,info@corot.it,644700900,www.hotelcorot.com,1
292,Hotel Corso 281,Via del Corso,281,41.8972435,12.4821517,5,25,12,,11,1,suites@corso281.com,687809370,www.corso281.com,1
293,Hotel Crossroad,Via Giovanni da Empoli,13,41.8733656,12.4796135,3,42,21,3,15,3,info@crossroadhotel.it,645508302,,8
294,Hotel D'este,Via Carlo Alberto,4 B,41.8965927,12.5009784,3,79,39,12,14,13,hoteldeste@gmail.com,3291754080,,1
295,Hotel Damaso,Piazza della Cancelleria,60,41.8968166,12.4723493,3,89,39,,29,9,info@hoteldamaso.it,645503061,www.hoteldamaso.it,1
296,Hotel Darival,Via del Casale di San Basilio,11,41.9461778,12.5666917,3,31,21,11,10,,,,,4
297,Hotel De Clementi,Via Muzio Clementi,9,41.9056022,12.4724761,1,15,10,5,5,,info@hoteldeclementi.com,637898287,www.hoteldeclementi.com,1
298,Hotel De Monti,Via Panisperna,95,41.8967644,12.4923201,2,13,7,1,6,,contabilita95@gmail.com,64814723,,1
299,Hotel De Petris,Via Rasella,142,41.9025835,12.4873983,3,98,50,9,36,5,info@hoteldepetris.com,64819626,,1
300,Hotel Degli Artisti,Via degli Artisti,20,41.9053673,12.4868584,4,55,34,13,21,,info@hoteldegliartisti.com,642014991,http://www.hoteldegliartisti.com/it,1
301,Hotel Degli Imperatori,Via Guido Gonella,15,41.9472825,12.5885419,4,108,43,3,19,17,info@hotelimperatori.biz,641227623,,4
302,Hotel Dei Barbieri,Via dei Barbieri,3:00 AM,41.8951065,12.4759317,4,33,14,1,9,3,gmpiperno@gmail.com,66868994,www.hoteldeibarbieri.com,1
303,Hotel Dei Borgognoni,Via del Bufalo,126,41.9027671,12.4828013,4,100,51,5,43,3,info@hotelborgognoni.it,669941505,www.hotelborgognoni.com,1
304,Hotel Dei Congressi,Viale Shakespeare,29,41.8303613,12.4733048,4,195,104,14,89,1,,,,9
305,hotel dei quiriti suite,Via Germanico,198,41.9091417,12.463005,3,17,9,1,8,,aldocirulli@gmail.com,3939249008,,1
306,Hotel Del Corso,Via del Corso,79,41.906812,12.4780663,3,25,18,11,7,,francorecchio@libero.it,3356393791,,1
307,Hotel Dell'urbe,Via dei Mille,27 A,41.9022693,12.5049111,2,17,8,1,5,2,drgmichela@gmail.com,3931648484,,1
308,Hotel Delle Cinque Lune,Via Giuseppe Zanardelli,23,41.9005975,12.4724022,3,31,15,,14,1,assistenza.clienti@booking.com,683365700,https://anticadimoradellecinquelune.com-hotel.com/it/,1
309,Hotel Delle Civette,Via Alessandro Torlonia,6,41.9147651,12.5137025,3,50,30,12,16,2,info@hoteldellecivette.it,642986230,www.hoteldellecivette.it,2
310,Hotel Delle Muse,Via Tommaso Salvini,18,41.9302322,12.4929034,3,122,58,12,32,10,,,,2
311,Hotel delle Vittorie,Via Col di Lana,24,41.9176585,12.4633611,3,77,41,6,34,1,coldilanasrl@pec.it,3388488249,,1
312,Hotel Diana,Via Principe Amedeo,4,41.9006976,12.4973793,4,305,157,39,99,8,,,,1
313,Hotel Diocleziano,Via Gaeta,71,41.9040004,12.4995932,4,59,35,12,22,1,hoteldiocleziano@bzarhotel.it,648900767,www.hoteldioclezianoroma.com,1
314,Hotel Diplomatic,Via Vittoria Colonna,28,41.9050636,12.472174,3,69,35,4,28,3,a.lassalandra@groupevaladier.com,66832685,,1
315,Hotel Divino Amore - Casa Del Pellegrino,Via del Santuario,80,41.7772044,12.5439636,3,212,84,,42,40,amministrazione@hoteldivinoamoreroma.it,6713519,,9
316,Hotel Dock,Via Forlì,31,41.9102166,12.5151716,3,25,13,1,12,,,,,2
317,Hotel Domus Aurelia,Via Aurelia,218,41.8997875,12.4437421,3,117,45,1,29,2,info@novadomusaurelia.it,697161530,https://www.novadomusaurelia.it/,13
318,Hotel Domus Praetoria,Via Milazzo,42,41.9031208,12.5059294,1,24,12,3,6,3,restitalia@pecimprese.it,3476647761,,1
319,Hotel Domus Rome Via Nazionale,Via Nazionale,251,41.9018069,12.4945889,1,19,9,1,6,2,hoteldomusrome@gmail.com,65400563,,1
320,Hotel Domus Termini,Via Giovanni Amendola,77,41.8996164,12.5002273,1,25,12,1,9,2,enchin.chiang@gmail.com,3395888366,,1
321,Hotel Domus Tiberina,Via In Piscinula,37,41.8888421,12.4770024,2,13,10,7,3,,tiberina24srl@gmail.com,3888692855,,1
322,Hotel Donatello,Via di Porta Maggiore,83,41.8922047,12.5133298,3,87,42,6,28,7,info@donatellorome.com,67010833,www.donatellorome.com,1
323,hotel donna francesca,Via Firenze,48,41.9026249,12.4939786,1,23,9,3,2,1,info@hoteldonnafrancesca.com,3312153754,www.hoteldonnafrancesca.com,1
324,hotel dorica,Piazza del Viminale,14,41.900059,12.4943834,3,24,13,2,11,,amministrazione@hoteldorica.com,6483615,,1
325,Hotel Dotcampus Roma,Via Faleria,21,41.8826881,12.5098517,3,179,83,2,66,15,info@dotcampus.it,3402025885,,7
326,Hotel Ekotel,Via Pontina,397,41.7907586,12.4518621,2,30,15,,15,,info@ekotel.it,632092037,https://www.ekotel.it/,9
327,Hotel Elide,Via Firenze,50,41.9024056,12.4940444,3,24,14,5,8,1,info@hotelelide.com,62057420,,1
328,Hotel Elite,Via Francesco Crispi,49,41.9043061,12.4856459,3,38,21,8,9,4,sangiorgio_srl@pec.it,65911659,,1
329,Hotel Enrica,Viale Castro Pretorio,25,41.9034995,12.5073526,1,16,8,1,6,1,hotel.enrica@tiscali.it,64453742,,2
330,Hotel Erdarelli,Via dei Due Macelli,28,41.9034669,12.484756,3,41,23,10,8,5,valutourist@pec.it,3204848038,,1
331,Hotel Espana,Via Luigi Luzzatti,21,41.8917103,12.5104143,2,16,10,4,6,,reservation@blamhotels.com,6770005,,1
332,Hotel Etico Roma,Via Giuseppe Pisanelli,39,41.9143678,12.4728299,3,39,18,,15,3,info@albergoeticoroma.it,652722977,www.albergoeticoroma.it,2
333,Hotel Eurorooms,Via Palestro,87,41.903402,12.505986,1,15,8,2,5,1,info@eurorooms.it,664871174,www.eurorooms.it,1
334,Hotel Family House,Via Bixio,72,41.8929301,12.5080804,1,19,11,4,6,1,familyhouseroma@gmail.com,67000770,,1
335,Hotel Farnese,Via Alessandro Farnese,30,41.9114524,12.4675409,4,50,23,2,15,6,info@hotelfarnese.com,63212553,www.hotelfarnese.com,1
336,Hotel Fellini,Via Rasella,56,41.9022919,12.4866835,3,60,40,21,18,1,info@hotelfellini.com,642742732,www.hotelfellini.com,1
337,Hotel Fendi Private Suites,Via della Fontanella di Borghese,48,41.9044986,12.4783441,5,14,7,,7,,info@fendiprivatesuites.com,697798080,www.fendiprivatesuites.com,1
338,Hotel Fenix,Viale Gorizia,7,41.9186264,12.5141414,4,148,73,12,48,12,info@fenixhotel.it,68540741,www.fenixhotel.it,2
339,Hotel Ferrari,Via Giovanni Amendola,95,41.8992831,12.5005591,2,44,16,3,1,9,faithsrls@legalmail.it,645471503,,1
340,Hotel Ferraro,Via Cavour,266,41.8937547,12.4901272,2,18,10,4,4,2,dinicola.giuseppe@gmail.com,6160513541,www.hotelferraro.it,1
341,Hotel Fiori,Via Nazionale,163,41.8969772,12.4872871,2,24,12,2,8,2,pdl78@tiscali.it,3383614215,,1
342,Hotel Foro Romano Imperatori,Via Cavour,294,41.893537,12.4894538,3,18,10,4,4,2,info@hotelfororomano.com,64826218,http://www.hotelfororomano.com/,1
343,Hotel Forte,Via Margutta,61,41.907338,12.4808414,3,36,19,5,11,3,,,,1
344,Hotel Gabriella,Via Palestro,88,41.9033809,12.5065237,3,51,23,,18,5,,,,1
345,Hotel Garda,Via Lombardia,30,41.9077521,12.4881969,3,58,26,4,13,8,,,,1
346,Hotel Gea Di Vulcano,Via Nazionale,243,41.901484,12.4940831,3,25,15,5,10,,einaudiaccomodationssrl@pec.it,64884996,,1
347,Hotel Genova,Via Cavour,25,41.8998215,12.498501,4,175,85,1,78,6,genova@remarhotels.com,6476951,,1
348,Hotel Giada,Via Principe Amedeo,9,41.9000259,12.4981659,1,14,8,3,4,1,maxcolan@gmail.com,3275444972,,1
349,Hotel Gianicolo,Viale delle Mura Gianicolensi,107,41.887568,12.46101,4,79,45,11,34,,,,,12
350,Hotel Giardino D'europa,Via Lucrezia Romana,95,41.8280439,12.5827642,3,148,77,14,55,8,info@hotelgiardinoeuropa.it,67222252,www.hotelgiardinoeuropa.it,7
351,Hotel Gioberti,Via Gioberti,20,41.8993697,12.5013539,4,180,90,6,78,6,reservation@hotelgioberti.it,64440625,,1
352,Hotel Giolitti,Via Giovanni Giolitti,415,41.8934551,12.5120079,3,25,13,1,12,,booking@giolittihotel.com,697990889,,1
353,Hotel Giolitti Smart,Via Giovanni Giolitti,413,41.8934807,12.5119378,2,17,10,3,7,,booking@giolittihotel.com,697990889,,1
354,Hotel Giolli Nazionale,Via Nazionale,69,41.8992813,12.4912527,3,114,61,13,44,3,info@hotelgiolli.it,64882393,,1
355,Hotel Giotto,Via Cardinal Passionei,35,41.911049,12.4212671,3,143,76,18,49,9,info@hotelgiotto.eu,661662394,,13
356,Hotel Giotto Flavia,Via Flavia,84,41.9073287,12.4972968,2,23,14,5,9,,info@hotelgiottoflavia.com,3.91E+11,www.hotelgiottoflavia.com,1
357,Hotel Giubileo,Via Carlo Alberto,13,41.8966147,12.5002598,2,25,17,9,8,,ahmed.sale89@yahoo.com,32755580000,,1
358,Hotel Giuggioli,Via Germanico,198,41.9091417,12.463005,3,14,9,4,5,,quiriti@tiscali.it,636005389,,1
359,Hotel Giulietta e Romeo,Via Eraclito di Efeso,23,41.7466099,12.3574269,3,47,21,2,13,5,info@hotelgiuliettaeromeo.eu,650931193,www.hotelgiuliettaeromeo.eu,10
360,Hotel Gravina Sanpietro,Via della Cava Aurelia,17,41.8961516,12.4505522,3,84,44,4,40,,info@hotelgravinasanpietro.it,639674205,,13
361,Hotel Gregoriana,Via Gregoriana,18,41.9046437,12.4846604,3,47,21,3,10,8,,,,1
362,Hotel Homs,Via della Vite,71,41.9041285,12.4823895,4,102,51,21,17,5,info@hotelhoms.it,3272216558,,1
363,Hotel Horti 14,Via di San Francesco di Sales,14,41.8939756,12.4630976,4,50,22,,19,,info@horti14.com,668806289,www.horti14.com,1
364,Hotel Idea,Via Attilio Benigni,7,41.930187,12.560864,3,388,86,8,48,30,dongpartners@gmail.com,645610700,,4
365,Hotel Il Villino,Via Nicolò Tommaseo,6,41.8740336,12.4637779,3,23,12,1,11,,archstudio05@yahoo.it,3332578639,,12
366,Hotel Indipendenza,Via Magenta,13,41.9033759,12.5024959,1,20,11,3,7,1,hotelindipendenza@gmail.com,644362204,www.hotelindipendenza.it,1
367,Hotel Infinito,Via Ettore Perrone,1,41.8914542,12.5107803,3,24,16,8,8,,,,,1
368,Hotel Jonico,Via Silicella,41,41.8627579,12.5988839,3,102,51,5,41,5,hjamministrazione@gmail.com,623880,,6
369,Hotel Kent,Via Reggio Emilia,71,41.912634,12.5021664,3,24,17,10,7,,niucoroma@gmail.com,68540797,,2
370,Hotel La Fenice,Via Francesco Crispi,15 A,41.9032988,12.4853435,3,17,12,7,5,,info@lafenicehotelroma.it,669924637,https://www.lafenicehotel.com/it/,1
371,Hotel La Giocca,Via Salaria,1223,41.9877263,12.5110268,4,100,48,5,34,9,,,,3
372,Hotel La Pergola,Via dei Prati Fiscali,55,41.9459046,12.5229463,3,178,92,24,51,16,info@hotellapergola.com,68107250,http://www.hotellapergola.it/,3
373,Hotel La Place,Piazza di San Lorenzo in Lucina,35,41.9037128,12.4783082,4,13,7,2,4,1,vitticentro@yahoo.it,668307269,,1
374,Hotel La Residenza,Via Emilia,22,41.9067683,12.4886026,4,74,25,1,7,9,info@laresidenzaroma.com,64880789,www.laresidenzaroma.com,1
375,Hotel La Rovere,Vicolo di Sant'Onofrio,5,41.8986503,12.4621749,4,55,27,3,20,4,,,,1
376,Hotel La Scaletta,Lungomare Paolo Toscanelli,130,41.7301527,12.2755029,3,47,21,3,11,6,info@lascaletta.it,65672522,www.lascaletta.it,10
377,Hotel La Ville Rome,Via Nomentana,110,41.9178628,12.514467,4,41,20,,19,1,account@aiohotels.it,3387403550,,2
378,Hotel Labelle,Via Cavour,310,41.8934558,12.4888506,2,25,10,1,4,4,info@hotellabelle.it,66794750,www.hotellabelle.it,1
379,Hotel Latinum,Piazza di Porta Maggiore,11,41.8920487,12.5141764,4,24,12,,12,,,,,1
380,Hotel Laura,Viale XXI Aprile,109,41.914235,12.520795,3,65,35,10,20,5,info@hotellauraroma.it,644233472,www.hotellauraroma.it,2
381,Hotel Le Reve De Naim,Via Mario De Fiori,5,41.904658,12.4817936,4,18,9,,9,,massimo.naim@gmail.com,3388061631,,1
382,Hotel Lella,Via Palestro,9,41.9076771,12.5006318,2,38,13,7,6,,hotellella@gmail.com,6484940,www.hotellellarome.com,1
383,Hotel Leone,Via Cavour,47,41.8995596,12.4981896,1,20,10,3,4,3,hotelleoneroma@outlook.it,64871590,www.hotelleoneroma.com,1
384,Hotel Les Chambres D'or Catone 21,Via Catone,21,41.9073529,12.459151,1,12,7,2,5,,info@leschambresdor.com,63908161,,1
385,Hotel Les Chambres D'or Gracchi 32,Via dei Gracchi,32,41.9072268,12.4587617,1,13,7,2,4,1,info@leschambresdor.com,63908161,,1
386,Hotel Lh Lloyd Roma,Via Alessandria,110 A,41.9121546,12.5031749,3,105,52,5,41,6,info@laminhotels.com,644288,,2
387,Hotel Lirico,Via del Viminale,31,41.9002502,12.4952555,3,50,26,2,24,,,,,1
388,Hotel' Little Aurelius,Via Cicerone,44,41.9067575,12.4686842,1,12,7,2,5,,pinoarrighi@hotmail.com,3392074774,,1
389,Hotel Locanda Cairoli,Piazza Benedetto Cairoli,2,41.893343,12.4749029,4,24,13,2,11,,info@locandacairoli.com,668809278,www.locandacairoli.com,1
390,Hotel Locarno,Via Della Penna,22,41.9096822,12.4747589,5,98,49,,49,,booking@hotellocarno.com,63610841,,1
391,Hotel Lunetta,Piazza del Paradiso,68,41.8959176,12.4734831,4,49,30,11,19,,alessandro.montaldo@hotellunetta.com,63218368,,1
392,Hotel Magic,Via Milazzo,20,41.9021999,12.5045539,2,23,10,2,4,3,info@hotel-magic-rome.com,64959880,,1
393,Hotel Malaga,Via Udine,14,41.9101318,12.5166428,3,25,19,13,6,,info@hotelmalagaroma.com,644231322,,2
394,Hotel Mancino 12,Via del Mancino,12,41.8974514,12.4826582,4,24,14,5,8,1,welcome@hotelmancino12.com,6674971,,1
395,Hotel Marcantonio,Via Cavour,47,41.8995596,12.4981896,2,50,24,5,14,4,,,,1
396,Hotel Martini,Via Nazionale,18,41.9009454,12.4937967,3,24,10,1,4,5,hotelmartini@gmail.com,64880994,www.hotelmartini.net,1
397,Hotel Martini Rooms,Via Cairoli,101,41.8942648,12.5078775,1,14,7,2,3,2,smile.sas786@gmail.com,3511371484,,1
398,Hotel Maryelen,Via Principe Amedeo,85 A,41.8980907,12.5009903,1,16,9,2,7,,info@maryelen.com,64460626,www.hotelmaryelen.com,1
399,Hotel Maryelen 2,Via Principe Amedeo,87 B,41.8981125,12.5012775,2,12,7,2,5,,info@maryelen.com,64460626,www.hotelmaryelen.com,1
400,Hotel Mascagni,Via Vittorio Emanuele Orlando,90,41.9038548,12.4947912,4,84,40,2,32,6,info@hotelmascagni.com,3.91E+11,www.hotelmascagni.com,1
401,Hotel Max,Via Gioberti,30,41.8988934,12.500825,3,25,15,5,10,,terminipalacesrl@legalmail.it,63728683,,1
402,Hotel Maximus,Via Firenze,12,41.9008508,12.4948299,3,69,39,12,24,3,info@hotelmaximus.com,3888558521,,1
403,Hotel Medici,Via Flavia,96 N,41.9075756,12.4977353,3,150,68,12,34,18,info@hotelmedici.com,64827319,www.hotelmedici.com,1
404,Hotel Memphis,Via degli Avignonesi,36,41.9028186,12.4864705,4,35,20,6,13,1,memphis@remarhotels.com,6485849,www.hotel-memphis-rome.com,1
405,Hotel Metropolis,Viale Delle Milizie,26,41.9133207,12.4646152,4,90,55,32,15,4,,,,1
406,Hotel Mimosa,Via di Santa Chiara,61,41.8978247,12.4759721,1,25,11,2,5,3,info@hotelmimosa.net,668801753,,1
407,Hotel Mirage,Via Milazzo,4,41.9016715,12.5037849,2,23,14,5,9,,info@bnbgalaxy.it,3476206670,,1
408,Hotel Mirti,Via dei Platani,101,41.881189,12.5673942,1,24,14,4,10,,info@hotelmirti.it,3939249008,,5
409,Hotel Modigliani,Via della Purificazione,42,41.9049026,12.4867323,3,47,23,,22,1,,,,1
410,Hotel Monte Cenci,Via Beatrice Cenci,10,41.8923048,12.4756433,4,60,30,2,27,,info@montecenci.com,694538750,www.montecenci.com,1
411,Hotel Monti First,Via della Consulta,1 B,41.8982315,12.4889748,1,24,12,2,8,2,montifirst@livingroma.it,648913457,www.montifirst.com,1
412,Hotel Montreal,Via Carlo Alberto,4,41.8965927,12.5009784,3,14,7,1,5,1,lucky2024srl@pec.it,3384980680,,1
413,Hotel Museum,Via Tunisi,8,41.9074921,12.4530378,3,68,31,2,24,2,info@hotelmuseum.it,639723941,,1
414,Hotel Navona,Via dei Sediari,8,41.8977498,12.4747551,3,43,18,1,11,4,info@hotelnavona.com,668301252,www.hotelnavona.com,1
415,HOTEL ORBIS,Via Principe Amedeo,62,41.8992162,12.499877,2,19,9,2,5,1,ad.roma2021@gmail.com,64743410,,1
